,Armature lift,Armature lift=34+4,Armature lift=35+4,Armature lift=36+—4,Armature lift=40,Armature lift=40+4,Armature lift=40+—4,Armature lift=45,Armature lift=45+—4,Armature lift=52,Armature lift=52+5,Armature lift=52+—5,Cylinder,DSP,Devolume ,ECU Type=EDC17C04,ECU Type=EDC17C04_6.90,ECU Type=EDC17C08_4.40,ECU Type=EDC17C53-1.10,ECU Type=EDC17C55-1.9,ECU Type=EDC17C55-1.90,ECU Type=EDC17C55_1.90,ECU Type=EDC17C63,ECU Type=EDC17C63-2.10,ECU Type=EDC17C63-2.20,ECU Type=EDC17C81,ECU Type=EDC17C81-2.10,ECU Type=EDC17CV41,ECU Type=EDC17CV41-4.60,ECU Type=EDC17CV44,ECU Type=EDC17CV44-5.003,ECU Type=EDC17CV44-5.03,ECU Type=EDC17CV44-5.04,ECU Type=EDC17CV44/54,ECU Type=EDC17CV44_5.03,ECU Type=MD1CE100,HPP P2R_ID,HPP P2R_Length,HPP P2R_OD,HPP R2I_ID,HPP R2I_Length,HPP R2I_OD,ID,Inj. Back pressure,Injector  Type=CRI1-16,Injector  Type=CRI1-16 w/ RP,Injector  Type=CRI1-18,Injector  Type=CRI14 S3,Injector  Type=CRI2-16,Injector  Type=CRIN14 S3,Injector  Type=CRIN14S3,Injector  Type=CRIN2-16,Injector  Type=CRIN2-16 BL,Injector  Type=CRIN2-16-BL,Injector  Type=CRIN2-16BL,Injector  Type=CRIN3-18,Injector  Type=CRIN3-18 BL,Injector  Type=CRIN3-25,K/ks= K=0,K/ks= Ks=1.3,K/ks=K=0,K/ks=K=0.5,K/ks=K=0.7,K/ks=K=1,K/ks=Ks0,K/ks=Ks1.3,K/ks=Ks=0,K/ks=Ks=0.5,K/ks=Ks=1.3,K/ks=ZS.,K/ks=Zs0.5,K/ks=k0,K/ks=k=0,K/ks=k=0.5,K/ks=zs,K/ks=zs=0.5,K/ks=zyl,K/ks=zyl.=0,Needle Lift,No. of Lobe,No. of Plunger,Nozzle Flow Rate_ cm3/30s@100bar,PRT=0.85,PRT=1.1,PRT=1.2,PRT=no,Plunger lift_mm,PumpType        (eg:CB18-16)=CB08,PumpType        (eg:CB18-16)=CB08 ,PumpType        (eg:CB18-16)=CB08 OHW,PumpType        (eg:CB18-16)=CB08-16,PumpType        (eg:CB18-16)=CB18-14,PumpType        (eg:CB18-16)=CB18-16,PumpType        (eg:CB18-16)=CB28-14,PumpType        (eg:CB18-16)=CB28-18,PumpType        (eg:CB18-16)=CP1H,PumpType        (eg:CB18-16)=CP1H-16,PumpType        (eg:CB18-16)=CP1H-18,PumpType        (eg:CB18-16)=CP3.3,PumpType        (eg:CB18-16)=CP3.3N-16,PumpType        (eg:CB18-16)=CP3.3N-18,PumpType        (eg:CB18-16)=CP3.3NH-18,PumpType        (eg:CB18-16)=CP4-25,PumpType        (eg:CB18-16)=CP4.1,PumpType        (eg:CB18-16)=CPN2-16,PumpType        (eg:CB18-16)=CPN2-16 (BL)+,PumpType        (eg:CB18-16)=CPN2-16(BL)+,PumpType        (eg:CB18-16)=CPN2-16BL,PumpType        (eg:CB18-16)=CPN2-18,RIT=0.85,RIT=1.1,RIT=1.2,RIT=no,Rail Type=0 4,"Rail Type=CRI1-16
HFR",Rail Type=HFR,Rail Type=HFR-16,Rail Type=HFR14 S3,Rail Type=HFRN-18,Rail Type=HFRN18,Rail Type=HRF,Rail Type=LWR,Rail Type=WFR,Ratio,Volume,holes Num.,RailP,ET,InjQ
10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.134,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,400.0,6.35,3.0,190.0,6.35,135.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.0,2.0,300.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.4,6.0,1000000,129.0,0.0
11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.134,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,400.0,6.35,3.0,190.0,6.35,135.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.0,2.0,300.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.4,6.0,1400000,129.0,0.01
12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.134,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,400.0,6.35,3.0,190.0,6.35,135.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.0,2.0,300.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.4,6.0,250000,132.0,0.01
13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.134,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,400.0,6.35,3.0,190.0,6.35,135.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.0,2.0,300.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.4,6.0,1000000,132.0,0.0
14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.134,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,400.0,6.35,3.0,190.0,6.35,135.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.0,2.0,300.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.4,6.0,1400000,132.0,0.0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.134,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,400.0,6.35,3.0,190.0,6.35,135.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.0,2.0,300.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.4,6.0,250000,135.0,0.0
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.134,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,400.0,6.35,3.0,190.0,6.35,135.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.0,2.0,300.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.4,6.0,1000000,135.0,0.0
17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.134,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,400.0,6.35,3.0,190.0,6.35,135.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.0,2.0,300.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.4,6.0,1400000,135.0,0.0
18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.134,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,400.0,6.35,3.0,190.0,6.35,135.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.0,2.0,300.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.4,6.0,250000,138.0,0.0
19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.134,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,400.0,6.35,3.0,190.0,6.35,135.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.0,2.0,300.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.4,6.0,1000000,138.0,0.01
